filename,i,run_time,total_loss,content_loss,style_loss,learning_rate,iters,alpha,beta,noise_ratio,optimizer,new_width,pool_method,pool_stride,last_style_loss_layer_w,style_num_layers,content_layer_num
tubingen_shipwreck_w300_i100_lr1.0_alpha1_beta5_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln4_time0.2.jpg,100,0.166824586,1639410.625,0.02917427,327882.125,1,100,1,5,0.1,lbfgs,300,avg,2,,5,4
tubingen_shipwreck_w300_i100_lr1.0_alpha1_beta5_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln4_time0.2.jpg,100,0.167932255,1663773.125,0.029091712,332754.625,1,100,1,5,0.1,lbfgs,300,avg,2,,5,4
tubingen_starry_night_w300_i50_lr1.0_alpha1_beta100_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln4_time0.2.jpg,50,0.17950582,53108956,0.031683568,531089.5625,1,50,1,100,0.1,lbfgs,300,avg,2,,5,4
tubingen_scream_w300_i40_lr2.0_alpha1_beta1000_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln4_time0.2.jpg,40,0.213273913,1840439552,0.030525662,1840439.5,2,40,1,1000,0.1,lbfgs,300,avg,2,,5,4
tubingen_seated_nude_w300_i200_lr1.0_alpha1_beta1000_nr0.7_lbfgs_avg_ps2_sllw0.2_snl5_cln4_time0.2.jpg,200,0.170233275,78148312,0.026719386,78148.3125,1,200,1,1000,0.7,lbfgs,300,avg,2,,5,4
tubingen_composition7_w300_i300_lr1.0_alpha1_beta1000_nr0.6_lbfgs_avg_ps2_sllw0.2_snl5_cln4_time0.2.jpg,300,0.19027781,360281856,0.062628575,360281.8438,1,300,1,1000,0.6,lbfgs,300,avg,2,,5,4
csjl_starry_night_w300_i70_lr1.0_alpha1_beta10_nr0.6_lbfgs_avg_ps2_sllw0.2_snl5_cln4_time0.2.jpg,70,0.244954978,5181438,0.045775462,518143.8125,1,70,1,10,0.6,lbfgs,300,avg,2,,5,4
tubingen_starry_night_w300_i100_lr1.0_alpha1_beta100_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln4_time0.2.jpg,100,0.249417198,23239968,0.034409102,232399.6719,1,100,1,100,0.1,lbfgs,300,avg,2,,5,4
tubingen_starry_night_w300_i200_lr1.0_alpha1_beta100_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln4_time0.3.jpg,200,0.252640382,10643216,0.03625958,106432.1641,1,200,1,100,0.1,lbfgs,300,avg,2,,5,4
tubingen_starry_night_w300_i300_lr1.0_alpha1_beta100_nr0.1_lbfgs_avg_ps2_sllw0.2_snl5_cln4_time0.3.jpg,300,0.278739306,7431766.5,0.037217788,74317.66406,1,300,1,100,0.1,lbfgs,300,avg,2,,5,4
